MUNICIPIO;1 Dose (D1);2 Dose (D2);3 Dose (D3);Reforço Bivalente;1 Reforço;2 Reforço;3 Reforço;Dose Única* (DU);Dose Adicional** (DA)
MIRANDOPOLIS;26692;25024;58;5407;17894;6315;6;346;58
MIRANTE DO PARANAPANEMA;15509;14375;83;3189;10912;5376;17;312;37
MIRASSOL;56894;53755;355;8772;37036;16553;122;1393;216
MIRASSOLANDIA;4949;4843;102;1601;3996;2094;11;110;12
MOCOCA;67681;63818;784;16544;49174;26045;209;1347;198
MOGI DAS CRUZES;410493;386809;3221;97395;287155;142142;635;9240;1519
MOGI GUACU;140095;131288;513;19973;85917;38222;254;3071;333
MOGI MIRIM;88394;83840;298;15213;59876;28139;162;1872;268
MOMBUCA;3694;3578;11;413;2325;994;47;63;8
MONCOES;2047;1982;23;687;1793;1005;1;49;8
MONGAGUA;60437;54453;453;14117;37532;17017;108;904;233
MONTE ALEGRE DO SUL;7323;6876;35;918;4975;1817;8;168;29
MONTE ALTO;45006;42860;255;5531;32373;13799;63;1093;162
MONTE APRAZIVEL;21038;20255;119;4046;15416;7470;17;593;72
MONTE AZUL PAULISTA;17101;16340;71;2135;12162;4054;27;276;46
MONTE CASTELO;3808;3689;17;529;2639;942;8;88;4
MONTE MOR;61901;55928;154;8073;33066;13058;71;1378;119
MONTEIRO LOBATO;4356;4070;21;890;2951;1508;8;75;7
MORRO AGUDO;26751;25359;145;3451;18586;7960;72;779;72
MORUNGABA;13752;13051;73;2107;9986;4374;44;332;41
MOTUCA;4008;3886;12;582;3068;1420;7;115;4
MURUTINGA DO SUL;3660;3580;25;365;2914;1236;5;86;13
NANTES;2637;2539;19;406;1846;860;1;51;4
NARANDIBA;5185;5137;51;958;3934;1653;15;118;16
NATIVIDADE DA SERRA;6665;5996;22;822;3561;1628;5;84;12
NAZARE PAULISTA;17524;16450;99;2783;11180;4943;14;328;55
NEVES PAULISTA;8966;8626;62;2090;6771;3624;2;186;38
NHANDEARA;9587;9166;30;1090;6533;2637;9;181;21
NIPOA;4669;4376;20;634;3103;1278;18;136;3
NOVA ALIANCA;6673;6479;38;1237;4907;2365;3;144;16
NOVA CAMPINA;8856;8643;173;2415;7401;4995;6;238;20
NOVA CANAA PAULISTA;1886;1852;21;359;1415;678;2;22;3
NOVA CASTILHO;1054;1041;2;44;832;256;0;19;2
NOVA EUROPA;9000;8569;28;1249;6939;3614;22;272;38
NOVA GRANADA;18666;18039;97;2980;13407;5665;6;457;40
NOVA GUATAPORANGA;2197;2155;6;400;1652;699;3;30;8
NOVA INDEPENDENCIA;5178;5227;19;1571;4606;1487;2;87;20
NOVA LUZITANIA;2892;2734;24;774;2140;1074;20;110;9
NOVA ODESSA;53690;50162;389;9208;33800;14316;211;1117;143
NOVAIS;4176;3695;10;206;1871;317;5;69;3
NOVO HORIZONTE;36111;34336;119;4608;24470;11549;19;807;95
NUPORANGA;7146;6833;48;1193;5287;2132;15;151;22
OCAUCU;4246;4202;102;1133;3251;1317;9;107;8
OLEO;2750;2717;15;399;1991;879;4;50;7
OLIMPIA;53235;50340;128;8445;35874;17804;164;1160;126
ONDA VERDE;4700;4384;42;966;3073;1373;0;94;14
ORIENTE;6121;5647;8;353;3702;1476;4;157;2
ORINDIUVA;6001;5937;102;1340;4954;2076;7;170;20
ORLANDIA;35728;34485;104;4263;26186;11738;60;1022;87
OSASCO;719562;663778;4913;163080;487354;246088;1975;15815;2522
OSCAR BRESSANE;2452;2409;12;449;2072;884;3;45;2
OSVALDO CRUZ;29517;28470;119;4367;20086;7620;5;603;53
OURINHOS;98821;90992;421;11619;58290;24991;668;1536;423
OURO VERDE;7164;6783;16;538;4467;1450;5;148;5
OUROESTE;9820;9413;46;1461;7192;3250;47;257;31
PACAEMBU;14711;14093;21;5439;11900;6244;294;253;25
PALESTINA;10657;10207;28;1240;7472;2946;4;273;16
PALMARES PAULISTA;8918;8631;57;1029;6395;2592;6;381;26
PALMEIRA D'OESTE;8633;8440;73;1176;7350;3389;32;198;45
PALMITAL;20136;19474;73;3701;14973;7077;15;399;70
PANORAMA;13652;12787;49;1868;8617;3185;5;226;27
PARAGUACU PAULISTA;39648;37780;161;6309;26573;12476;1707;809;176
PARAIBUNA;16886;15800;97;2780;10335;4717;47;389;30
PARAISO;5435;5201;36;791;3927;1708;5;125;14
PARANAPANEMA;18710;17762;83;3982;13154;6125;35;439;55
PARANAPUA;3977;3863;7;534;2618;1075;3;73;8
PARAPUA;9973;9360;64;888;6331;2520;10;186;42
PARDINHO;6927;6461;26;1146;4322;1758;6;111;33
PARIQUERA-ACU;19045;18128;98;3152;12217;4779;60;296;99
PARISI;2528;2520;26;430;2431;1498;4;44;19
PATROCINIO PAULISTA;14032;13367;125;2185;9449;4073;36;281;28
PAULICEIA;7491;7143;246;1675;5062;1567;9;154;17
PAULINIA;101187;94880;887;19044;71509;32794;392;2436;451
PAULISTANIA;2002;1967;37;419;1590;884;4;45;14
PAULO DE FARIA;8459;8311;125;1613;6687;2870;12;165;45
PEDERNEIRAS;41467;38860;115;5246;25346;10802;18;859;66
PEDRA BELA;6217;6064;23;1218;4713;2161;28;146;21
PEDRANOPOLIS;2718;2661;15;369;2151;944;18;54;8
PEDREGULHO;15824;14732;71;2439;10293;4818;59;314;53
PEDREIRA;42715;40653;202;8318;28982;14246;2391;1175;106
PEDRINHAS PAULISTA;2779;2716;13;342;2231;873;2;53;18
PEDRO DE TOLEDO;9858;9241;37;1577;5854;2633;298;143;17
PENAPOLIS;56420;52722;157;6135;35168;14737;38;909;119
PEREIRA BARRETO;23301;21922;110;4992;16542;8084;54;489;95
PEREIRAS;7823;7592;62;1572;5686;2571;10;201;28
PERUIBE;73204;68300;399;17558;47159;24341;196;976;203
PIACATU;5179;4967;11;549;3220;1361;11;129;11
PIEDADE;52700;49568;144;11286;35851;18922;304;1368;98
PILAR DO SUL;27545;26447;158;4948;19298;9683;79;577;81
PINDAMONHANGABA;152299;140005;548;23683;96480;43331;341;3434;408
PINDORAMA;13553;12959;39;1527;9094;3927;27;318;31
PINHALZINHO;14435;14013;64;3196;9757;4706;62;348;39
PIQUEROBI;3178;3029;28;434;2110;1015;3;48;13
PIQUETE;12109;11371;49;1993;8210;4138;45;280;39
PIRACAIA;27573;26151;226;4917;19159;8745;65;616;80
PIRACICABA;383282;362105;1324;63389;246473;104071;784;8274;1542
PIRAJU;28681;26691;144;5399;18899;8608;92;466;99
PIRAJUI;21139;19849;95;4317;14634;5883;22;493;45
PIRANGI;10157;9744;34;1162;7126;2976;17;234;29
PIRAPORA DO BOM JESUS;18554;16976;96;3132;11270;5609;64;358;32
PIRAPOZINHO;23857;22461;129;4072;17563;8509;109;498;75
PIRASSUNUNGA;68350;63734;258;8745;43801;17783;80;1092;181
PIRATININGA;13610;12869;61;2332;8868;4111;8;214;44
PITANGUEIRAS;32807;30920;296;6112;23050;10485;73;967;85
PLANALTO;4343;4146;23;640;3093;1412;4;107;10
PLATINA;3171;3014;4;823;2412;1347;2;101;7
